category,uid,combined_status,baseline_asset_class,az045_asset_class,baseline_view_classes,az045_view_classes,best_view_source,best_view_name,best_view_class,best_fg_ratio,best_bbox_area_ratio,best_bbox_width,best_bbox_height,best_touches_edge,best_path,usd_path
cabinet,5beeaa7bfe13ad1b18b3e90600a3e58e,has_ok_view,tiny,suspicious,blank;blank;tiny;blank,blank;ok;blank;blank,az045,left,ok,0.002476,0.010681,100,28,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/5beeaa7bfe13ad1b18b3e90600a3e58e/left.png,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/5beeaa7bfe13ad1b18b3e90600a3e58e/usd/5beeaa7bfe13ad1b18b3e90600a3e58e.usd
cabinet,68007680b83db0c9fbc59f2431607d9f,has_ok_view,tiny,suspicious,blank;tiny;blank;blank,blank;ok;blank;blank,az045,left,ok,0.002708,0.015274,91,44,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/68007680b83db0c9fbc59f2431607d9f/left.png,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/68007680b83db0c9fbc59f2431607d9f/usd/68007680b83db0c9fbc59f2431607d9f.usd
cabinet,72c6bb3de9a62e85fa40e3791a4dd959,has_ok_view,blank,suspicious,blank;blank;blank;blank,blank;blank;ok;blank,az045,back,ok,0.003735,0.026817,74,95,True,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/72c6bb3de9a62e85fa40e3791a4dd959/back.png,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/72c6bb3de9a62e85fa40e3791a4dd959/usd/72c6bb3de9a62e85fa40e3791a4dd959.usd
cabinet,9d7a33fc87f1d1f35b9b6c27aa9f0f3c,has_ok_view,tiny,suspicious,blank;blank;blank;tiny,blank;blank;blank;ok,az045,right,ok,0.005871,0.012138,86,37,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/9d7a33fc87f1d1f35b9b6c27aa9f0f3c/right.png,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/9d7a33fc87f1d1f35b9b6c27aa9f0f3c/usd/9d7a33fc87f1d1f35b9b6c27aa9f0f3c.usd
cabinet,c2baafe7faae17a654ae50ac0794baa7,has_ok_view,tiny,suspicious,blank;tiny;blank;blank,blank;ok;blank;blank,az045,left,ok,0.002304,0.017761,97,48,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/c2baafe7faae17a654ae50ac0794baa7/left.png,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/c2baafe7faae17a654ae50ac0794baa7/usd/c2baafe7faae17a654ae50ac0794baa7.usd
cabinet,cd8e798a564acb1564dc284cbcc5d087,has_ok_view,tiny,suspicious,blank;blank;tiny;blank,blank;ok;blank;blank,az045,left,ok,0.019951,0.031208,101,81,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/cd8e798a564acb1564dc284cbcc5d087/left.png,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/cd8e798a564acb1564dc284cbcc5d087/usd/cd8e798a564acb1564dc284cbcc5d087.usd
cabinet,ce6d6990195849f50462f4ff0a2b820b,has_ok_view,tiny,suspicious,tiny;blank;blank;blank,ok;blank;blank;ok,az045,front,ok,0.013416,0.022217,64,91,True,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/ce6d6990195849f50462f4ff0a2b820b/front.png,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/ce6d6990195849f50462f4ff0a2b820b/usd/ce6d6990195849f50462f4ff0a2b820b.usd
cabinet,cebf73466eb691bf9557a0dc4cf35f67,has_ok_view,tiny,suspicious,tiny;blank;blank;blank,ok;blank;blank;blank,az045,front,ok,0.005669,0.012772,93,36,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/cebf73466eb691bf9557a0dc4cf35f67/front.png,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/cebf73466eb691bf9557a0dc4cf35f67/usd/cebf73466eb691bf9557a0dc4cf35f67.usd
cabinet,cefd05f9afdac3ea57802435e42820d0,has_ok_view,tiny,suspicious,tiny;blank;blank;blank,ok;blank;blank;blank,az045,front,ok,0.010143,0.016136,94,45,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/cefd05f9afdac3ea57802435e42820d0/front.png,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/cefd05f9afdac3ea57802435e42820d0/usd/cefd05f9afdac3ea57802435e42820d0.usd
cabinet,d25b1eaa551dc87164ebc6fecefa5e20,has_ok_view,tiny,suspicious,blank;blank;blank;tiny,blank;blank;ok;blank,az045,back,ok,0.014290,0.019409,96,53,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/d25b1eaa551dc87164ebc6fecefa5e20/back.png,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/d25b1eaa551dc87164ebc6fecefa5e20/usd/d25b1eaa551dc87164ebc6fecefa5e20.usd
cabinet,d42f2e8221d899971e2effeaf540e2cb,has_ok_view,tiny,suspicious,blank;blank;blank;tiny,blank;blank;ok;blank,az045,back,ok,0.014824,0.022591,94,63,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/d42f2e8221d899971e2effeaf540e2cb/back.png,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/d42f2e8221d899971e2effeaf540e2cb/usd/d42f2e8221d899971e2effeaf540e2cb.usd
cabinet,def8f92095cc409637c90677fdc879ce,has_ok_view,tiny,suspicious,blank;tiny;blank;blank,blank;ok;blank;blank,az045,left,ok,0.010517,0.020630,104,52,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/def8f92095cc409637c90677fdc879ce/left.png,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/def8f92095cc409637c90677fdc879ce/usd/def8f92095cc409637c90677fdc879ce.usd
cabinet,f471513f73ace7981707dea152802450,has_ok_view,tiny,suspicious,tiny;blank;blank;blank,ok;blank;blank;blank,az045,front,ok,0.011391,0.018906,59,84,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/f471513f73ace7981707dea152802450/front.png,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/f471513f73ace7981707dea152802450/usd/f471513f73ace7981707dea152802450.usd
cabinet,f607af751f597c1f78f663c648c662f9,has_ok_view,tiny,suspicious,blank;blank;tiny;blank,blank;ok;blank;blank,az045,left,ok,0.015957,0.027290,98,73,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/f607af751f597c1f78f663c648c662f9/left.png,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/f607af751f597c1f78f663c648c662f9/usd/f607af751f597c1f78f663c648c662f9.usd
door,1f614c5e84cf7ab87a1fc0d1bcf00f40,has_ok_view,tiny,suspicious,tiny;blank;blank;tiny,blank;blank;blank;ok,az045,right,ok,0.022858,0.039177,158,65,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/door/1f614c5e84cf7ab87a1fc0d1bcf00f40/right.png,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/door/1f614c5e84cf7ab87a1fc0d1bcf00f40/usd/1f614c5e84cf7ab87a1fc0d1bcf00f40.usd
door,6afa6a3493e29ed1635708a62356a344,has_ok_view,tiny,suspicious,tiny;blank;blank;blank,blank;blank;blank;ok,az045,right,ok,0.016113,0.026653,137,51,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/door/6afa6a3493e29ed1635708a62356a344/right.png,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/door/6afa6a3493e29ed1635708a62356a344/usd/6afa6a3493e29ed1635708a62356a344.usd
door,7b46af01a13e3ca1723c1574556af337,has_ok_view,tiny,suspicious,blank;blank;blank;tiny,blank;blank;blank;ok,az045,right,ok,0.008976,0.015949,113,37,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/door/7b46af01a13e3ca1723c1574556af337/right.png,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/door/7b46af01a13e3ca1723c1574556af337/usd/7b46af01a13e3ca1723c1574556af337.usd
door,b16b5205214f15c42aed50b3a329326e,has_ok_view,tiny,suspicious,tiny;blank;blank;blank,ok;blank;blank;blank,az045,front,ok,0.009010,0.028954,69,110,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/door/b16b5205214f15c42aed50b3a329326e/front.png,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/door/b16b5205214f15c42aed50b3a329326e/usd/b16b5205214f15c42aed50b3a329326e.usd
cabinet,05b603614a4ff2f04bfa544a2d85a0bd,tiny_only_no_ok,tiny,tiny,tiny;tiny;tiny;tiny,tiny;tiny;tiny;tiny,az045,right,tiny,0.002304,0.010548,35,79,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/05b603614a4ff2f04bfa544a2d85a0bd/right.png,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/05b603614a4ff2f04bfa544a2d85a0bd/usd/05b603614a4ff2f04bfa544a2d85a0bd.usd
cabinet,0b558ffc6d640331607c4eeca7e99fb6,tiny_only_no_ok,tiny,tiny,blank;blank;tiny;blank,blank;blank;tiny;blank,baseline,back,tiny,0.012486,0.013245,56,62,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/0b558ffc6d640331607c4eeca7e99fb6/back.png,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/0b558ffc6d640331607c4eeca7e99fb6/usd/0b558ffc6d640331607c4eeca7e99fb6.usd
cabinet,0dd113faaefaf20150c364db6c094d46,tiny_only_no_ok,tiny,tiny,tiny;blank;blank;blank,tiny;blank;blank;blank,baseline,front,tiny,0.015022,0.019455,75,68,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/0dd113faaefaf20150c364db6c094d46/front.png,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/0dd113faaefaf20150c364db6c094d46/usd/0dd113faaefaf20150c364db6c094d46.usd
cabinet,123f6a89cd741c984dc5030f1c7ca2a3,tiny_only_no_ok,tiny,blank,blank;tiny;blank;blank,blank;blank;blank;blank,baseline,left,tiny,0.004429,0.004578,60,20,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/123f6a89cd741c984dc5030f1c7ca2a3/left.png,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/123f6a89cd741c984dc5030f1c7ca2a3/usd/123f6a89cd741c984dc5030f1c7ca2a3.usd
cabinet,1a90eabdd92d987169fdd8e83b63c939,tiny_only_no_ok,blank,tiny,blank;blank;blank;blank,blank;blank;tiny;blank,az045,back,tiny,0.007713,0.009308,61,40,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/1a90eabdd92d987169fdd8e83b63c939/back.png,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/1a90eabdd92d987169fdd8e83b63c939/usd/1a90eabdd92d987169fdd8e83b63c939.usd
cabinet,1e4fec39fe2640c5567413a407c0550a,tiny_only_no_ok,tiny,tiny,tiny;blank;blank;blank,tiny;blank;blank;blank,az045,front,tiny,0.002522,0.010712,78,36,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/1e4fec39fe2640c5567413a407c0550a/front.png,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/1e4fec39fe2640c5567413a407c0550a/usd/1e4fec39fe2640c5567413a407c0550a.usd
cabinet,221e842ce1e790bddf5af9d9e29dbeec,tiny_only_no_ok,tiny,tiny,tiny;blank;blank;blank,tiny;blank;blank;blank,az045,front,tiny,0.002148,0.010117,78,34,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/221e842ce1e790bddf5af9d9e29dbeec/front.png,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/221e842ce1e790bddf5af9d9e29dbeec/usd/221e842ce1e790bddf5af9d9e29dbeec.usd
cabinet,306a16dccd08838e615c565e1c9ee0e6,tiny_only_no_ok,tiny,tiny,blank;blank;tiny;blank,blank;blank;tiny;blank,az045,back,tiny,0.003437,0.012360,60,54,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/306a16dccd08838e615c565e1c9ee0e6/back.png,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/306a16dccd08838e615c565e1c9ee0e6/usd/306a16dccd08838e615c565e1c9ee0e6.usd
cabinet,365155e8781d53f97be5426f5518638e,tiny_only_no_ok,blank,tiny,blank;blank;blank;blank,tiny;blank;blank;blank,az045,front,tiny,0.002098,0.002678,13,54,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/365155e8781d53f97be5426f5518638e/front.png,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/365155e8781d53f97be5426f5518638e/usd/365155e8781d53f97be5426f5518638e.usd
cabinet,36784bfb585bdb14174f19549409978f,tiny_only_no_ok,tiny,tiny,blank;blank;blank;tiny,blank;blank;tiny;blank,az045,back,tiny,0.005142,0.007481,53,37,True,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/36784bfb585bdb14174f19549409978f/back.png,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/36784bfb585bdb14174f19549409978f/usd/36784bfb585bdb14174f19549409978f.usd
cabinet,44bb282febf69ed6b92b6a239d306d69,tiny_only_no_ok,blank,tiny,blank;blank;blank;blank,blank;tiny;blank;blank,az045,left,tiny,0.002106,0.002602,62,11,True,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/44bb282febf69ed6b92b6a239d306d69/left.png,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/44bb282febf69ed6b92b6a239d306d69/usd/44bb282febf69ed6b92b6a239d306d69.usd
cabinet,4932633b756863150ebe85421dc429f8,tiny_only_no_ok,blank,tiny,blank;blank;blank;blank,tiny;blank;blank;blank,az045,front,tiny,0.002609,0.003307,51,17,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/4932633b756863150ebe85421dc429f8/front.png,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/4932633b756863150ebe85421dc429f8/usd/4932633b756863150ebe85421dc429f8.usd
cabinet,4a160695503292c2a05b2c733abe7249,tiny_only_no_ok,blank,tiny,blank;blank;blank;blank,tiny;blank;blank;blank,az045,front,tiny,0.001114,0.002644,33,21,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/4a160695503292c2a05b2c733abe7249/front.png,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/4a160695503292c2a05b2c733abe7249/usd/4a160695503292c2a05b2c733abe7249.usd
cabinet,4b2ade4221cfba0b32f70ef5686852fb,tiny_only_no_ok,tiny,tiny,tiny;blank;blank;blank,tiny;blank;blank;blank,baseline,front,tiny,0.002625,0.003296,32,27,True,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/4b2ade4221cfba0b32f70ef5686852fb/front.png,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/4b2ade4221cfba0b32f70ef5686852fb/usd/4b2ade4221cfba0b32f70ef5686852fb.usd
cabinet,4c482f4c32887985a807ee43ba1c3484,tiny_only_no_ok,tiny,tiny,blank;blank;blank;tiny,blank;blank;blank;tiny,az045,right,tiny,0.001644,0.001991,29,18,True,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/4c482f4c32887985a807ee43ba1c3484/right.png,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/4c482f4c32887985a807ee43ba1c3484/usd/4c482f4c32887985a807ee43ba1c3484.usd
cabinet,5261894c525133cf0a31c4044c63d67b,tiny_only_no_ok,tiny,tiny,blank;blank;tiny;blank,blank;blank;tiny;blank,az045,back,tiny,0.009926,0.012512,80,41,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/5261894c525133cf0a31c4044c63d67b/back.png,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/5261894c525133cf0a31c4044c63d67b/usd/5261894c525133cf0a31c4044c63d67b.usd
cabinet,5691884c9bfdff084834b5cc0990a68f,tiny_only_no_ok,tiny,blank,tiny;blank;blank;blank,blank;blank;blank;blank,baseline,front,tiny,0.001144,0.001488,30,13,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/5691884c9bfdff084834b5cc0990a68f/front.png,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/5691884c9bfdff084834b5cc0990a68f/usd/5691884c9bfdff084834b5cc0990a68f.usd
cabinet,58cb16021d7fbfe0f97c5fb02b43b192,tiny_only_no_ok,tiny,tiny,blank;blank;blank;tiny,blank;blank;blank;tiny,baseline,right,tiny,0.008064,0.013954,62,59,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/58cb16021d7fbfe0f97c5fb02b43b192/right.png,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/58cb16021d7fbfe0f97c5fb02b43b192/usd/58cb16021d7fbfe0f97c5fb02b43b192.usd
cabinet,5b05fdc79acafd158597bdb0e25c67e9,tiny_only_no_ok,tiny,tiny,blank;blank;tiny;blank,blank;blank;tiny;blank,az045,back,tiny,0.005043,0.006866,50,36,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/5b05fdc79acafd158597bdb0e25c67e9/back.png,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/5b05fdc79acafd158597bdb0e25c67e9/usd/5b05fdc79acafd158597bdb0e25c67e9.usd
cabinet,614eb436a380818707a3d8012c6d3d5a,tiny_only_no_ok,tiny,tiny,blank;tiny;blank;blank,blank;tiny;blank;blank,az045,left,tiny,0.008018,0.011581,69,44,True,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/614eb436a380818707a3d8012c6d3d5a/left.png,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/614eb436a380818707a3d8012c6d3d5a/usd/614eb436a380818707a3d8012c6d3d5a.usd
cabinet,65e550a2a69622c20d3e5253ebe10ec7,tiny_only_no_ok,tiny,blank,tiny;blank;blank;blank,blank;blank;blank;blank,baseline,front,tiny,0.009529,0.010006,43,61,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/65e550a2a69622c20d3e5253ebe10ec7/front.png,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/65e550a2a69622c20d3e5253ebe10ec7/usd/65e550a2a69622c20d3e5253ebe10ec7.usd
cabinet,70c4f47067d56fdf6daa8d8d40992d61,tiny_only_no_ok,tiny,tiny,blank;blank;blank;tiny,blank;blank;tiny;blank,az045,back,tiny,0.010689,0.014351,66,57,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/70c4f47067d56fdf6daa8d8d40992d61/back.png,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/70c4f47067d56fdf6daa8d8d40992d61/usd/70c4f47067d56fdf6daa8d8d40992d61.usd
cabinet,71d744218980f92027ad956f72cafbff,tiny_only_no_ok,tiny,tiny,blank;blank;tiny;blank,blank;blank;tiny;blank,az045,back,tiny,0.002655,0.011089,57,51,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/71d744218980f92027ad956f72cafbff/back.png,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/71d744218980f92027ad956f72cafbff/usd/71d744218980f92027ad956f72cafbff.usd
